summary_line,timestamp,src_ip,dst_ip,ttl,length,protocol_num,protocol,src_port,dst_port,seq,ack,flags,window,protocol_info,security,qos,performance,summary
192.168.0.5:50022 -> 35.186.224.30:443 Proto: TCP,2025-05-11 21:48:26.853037,192.168.0.5,35.186.224.30,128,83,6,TCP,50022,443,2630493306,167553639,"{'PSH': True, 'ACK': True}",252,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 97, 'header_overhead': 40}",TCP 192.168.0.5:50022 -> 35.186.224.30:443 [PA]
35.186.224.30:443 -> 192.168.0.5:50022 Proto: TCP,2025-05-11 21:48:26.858329,35.186.224.30,192.168.0.5,124,40,6,TCP,443,50022,167553639,2630493349,{'ACK': True},1043,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 24, 'ecn': 0, 'priority': 3, 'tos_value': 96}","{'packet_size': 60, 'header_overhead': 40}",TCP 35.186.224.30:443 -> 192.168.0.5:50022 [A]
35.186.224.30:443 -> 192.168.0.5:50022 Proto: TCP,2025-05-11 21:48:26.908202,35.186.224.30,192.168.0.5,124,80,6,TCP,443,50022,167553639,2630493349,"{'PSH': True, 'ACK': True}",1043,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 24, 'ecn': 0, 'priority': 3, 'tos_value': 96}","{'packet_size': 94, 'header_overhead': 40}",TCP 35.186.224.30:443 -> 192.168.0.5:50022 [PA]
192.168.0.5:50022 -> 35.186.224.30:443 Proto: TCP,2025-05-11 21:48:26.957021,192.168.0.5,35.186.224.30,128,40,6,TCP,50022,443,2630493349,167553679,{'ACK': True},252,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 54, 'header_overhead': 40}",TCP 192.168.0.5:50022 -> 35.186.224.30:443 [A]
192.168.0.5:63695 -> 155.133.244.34:443 Proto: TCP,2025-05-11 21:48:28.183484,192.168.0.5,155.133.244.34,128,99,6,TCP,63695,443,1355830769,1353922010,"{'PSH': True, 'ACK': True}",1020,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 113, 'header_overhead': 40}",TCP 192.168.0.5:63695 -> 155.133.244.34:443 [PA]
155.133.244.34:443 -> 192.168.0.5:63695 Proto: TCP,2025-05-11 21:48:28.270879,155.133.244.34,192.168.0.5,120,40,6,TCP,443,63695,1353922010,1355830828,{'ACK': True},2048,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 60, 'header_overhead': 40}",TCP 155.133.244.34:443 -> 192.168.0.5:63695 [A]
192.168.0.5:57110 -> 35.186.224.9:443 Proto: TCP,2025-05-11 21:48:28.974962,192.168.0.5,35.186.224.9,128,41,6,TCP,57110,443,2177636484,2689706605,{'ACK': True},252,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 55, 'header_overhead': 40}",TCP 192.168.0.5:57110 -> 35.186.224.9:443 [A]
35.186.224.9:443 -> 192.168.0.5:57110 Proto: TCP,2025-05-11 21:48:28.976990,35.186.224.9,192.168.0.5,124,52,6,TCP,443,57110,2689706605,2177636485,{'ACK': True},1046,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 66, 'header_overhead': 40}",TCP 35.186.224.9:443 -> 192.168.0.5:57110 [A]
192.168.0.5:57056 -> 190.25.210.88:443 Proto: TCP,2025-05-11 21:48:29.473072,192.168.0.5,190.25.210.88,128,41,6,TCP,57056,443,2065283006,1034513656,{'ACK': True},255,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 55, 'header_overhead': 40}",TCP 192.168.0.5:57056 -> 190.25.210.88:443 [A]
190.25.210.88:443 -> 192.168.0.5:57056 Proto: TCP,2025-05-11 21:48:29.474345,190.25.210.88,192.168.0.5,61,52,6,TCP,443,57056,1034513656,2065283007,{'ACK': True},501,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 66, 'header_overhead': 40}",TCP 190.25.210.88:443 -> 192.168.0.5:57056 [A]
192.168.0.5:57055 -> 190.25.210.88:443 Proto: TCP,2025-05-11 21:48:29.659492,192.168.0.5,190.25.210.88,128,41,6,TCP,57055,443,3344981591,526574282,{'ACK': True},255,HTTPS,"{'encrypted': True, 'protocol': 'TLS/SSL'}","{'dscp': 0, 'ecn': 0, 'priority': 0, 'tos_value': 0}","{'packet_size': 55, 'header_overhead': 40}",TCP 192.168.0.5:57055 -> 190.25.210.88:443 [A]
